Date,Open,High,Low,Close
08 Jul 2020,4327.4,4353.7,4273.65,4285.05
07 Jul 2020,4297.65,4322.25,4254.55,4312.65
06 Jul 2020,4240.4,4293.8,4228.3,4289.55
03 Jul 2020,4199.75,4218.9,4169.6,4208.75
02 Jul 2020,4146.6,4176.6,4125.8,4170.85
01 Jul 2020,4100.4,4123.5,4073.7,4115.8
30 Jun 2020,4143.6,4154.85,4082.4,4094.25
29 Jun 2020,4160.6,4164.65,4076.3,4095.95
26 Jun 2020,4210.2,4229.75,4159.9,4171.75
25 Jun 2020,4110.05,4181.9,4086.65,4168.95
24 Jun 2020,4237.1,4273.75,4118.85,4132.1
23 Jun 2020,4196.75,4216.45,4160.2,4209.5
22 Jun 2020,4121.35,4192.05,4116.65,4167.85
19 Jun 2020,4055.75,4096.65,4043.45,4088.15
18 Jun 2020,3980.85,4042.2,3972.9,4035.6
17 Jun 2020,3967.15,4011.6,3955.4,3984.55
16 Jun 2020,4024.55,4035.5,3903.55,3975.5
15 Jun 2020,4017,4043.3,3944.5,3952.9
12 Jun 2020,3777.15,4031.7,3776.85,4020.05
11 Jun 2020,4001.8,4051.8,3934.05,3944.55
10 Jun 2020,3958.25,4005.15,3936.95,3992.6
09 Jun 2020,3984.15,4024.3,3917.95,3940.6
08 Jun 2020,4004.6,4020.05,3939.7,3955.6
05 Jun 2020,3909.8,3953.35,3891.85,3946.45
04 Jun 2020,3884.5,3930.75,3842.4,3880.95
03 Jun 2020,3926.65,3959.25,3864.3,3880.35
02 Jun 2020,3861.9,3897.65,3843.35,3882.6
01 Jun 2020,3758.15,3852.85,3755.15,3838.9
29 May 2020,3638.75,3739.6,3623.7,3713.55
28 May 2020,3619.6,3669.95,3610.85,3663.2
27 May 2020,3581.2,3611.65,3529.75,3603.6
26 May 2020,3527.1,3573.6,3512.4,3567.2
22 May 2020,3512.75,3550.7,3468.25,3496.85
21 May 2020,3526.75,3568.75,3512.75,3529.15
20 May 2020,3455.45,3520.35,3443.35,3505.3
19 May 2020,3477.35,3510.85,3437.1,3451.8
18 May 2020,3631,3631.35,3424.2,3430.8
15 May 2020,3643,3658.05,3601.4,3618.5
14 May 2020,3621.1,3665.65,3600.75,3626.1
13 May 2020,3688.3,3688.3,3581.3,3647.6
12 May 2020,3549.65,3567.95,3487.5,3547.5
11 May 2020,3568.25,3606.2,3558.9,3567.15
08 May 2020,3593.05,3603.5,3525.65,3537.5
07 May 2020,3558.7,3614.4,3536.9,3542.5
06 May 2020,3531.45,3581.95,3470.6,3567.65
05 May 2020,3608.4,3626.3,3511.2,3518.8
04 May 2020,3605.35,3608.55,3530.95,3548.65
30 Apr 2020,3707.5,3752.7,3695.1,3722.4
29 Apr 2020,3623.3,3663.4,3609.4,3649.15
28 Apr 2020,3570.15,3606.95,3528.45,3597.8
27 Apr 2020,3519.35,3547.85,3514.45,3531.25
24 Apr 2020,3526.3,3562.05,3461.2,3470.35
23 Apr 2020,3548.4,3631.4,3543.65,3571.15
22 Apr 2020,3458.85,3533.1,3415.8,3521.7
21 Apr 2020,3529.1,3529.1,3454.65,3472.65
20 Apr 2020,3631.3,3661.5,3578.1,3600.75
17 Apr 2020,3601.1,3653.1,3533.6,3593.95
16 Apr 2020,3403.15,3513.95,3386.55,3499.5
15 Apr 2020,3414.5,3511,3382.05,3419.55
13 Apr 2020,3435.45,3437.55,3318.75,3371.8
09 Apr 2020,3355.05,3427.75,3349.45,3420.95
08 Apr 2020,3208.7,3416.4,3178.9,3287.8
07 Apr 2020,3144.1,3238.15,3102.55,3232.1
03 Apr 2020,3110.2,3113.75,3030.5,3037
01 Apr 2020,3170.45,3183.05,3067.85,3095.45
31 Mar 2020,3182.2,3193.65,3111.15,3180.6
30 Mar 2020,3121.55,3160.8,3069.05,3121.5
27 Mar 2020,3327.9,3383.3,3160.6,3206.5
26 Mar 2020,3135.35,3288.7,3088.3,3219.9
25 Mar 2020,2917.25,3125.3,2911.15,3110.5
24 Mar 2020,3013.55,3069.1,2855.35,2975.15
23 Mar 2020,3124.45,3185,2897,2905.15
