,p,q,P,Q,AIC,BIC,AICc
266,1,1,2,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
267,1,1,2,2,-6.31264440825061,-6.14869114921952,-5.58336264029481
268,1,1,2,3,-6.31264440825061,-6.14869114921952,-5.58336264029481
269,1,1,2,4,-6.31264440825061,-6.14869114921952,-5.58336264029481
270,1,1,2,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
271,1,1,3,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
272,1,1,3,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
273,1,1,3,2,-6.31264440825061,-6.14869114921952,-5.58336264029481
274,1,1,3,3,-6.31264440825061,-6.14869114921952,-5.58336264029481
275,1,1,3,4,-6.31264440825061,-6.14869114921952,-5.58336264029481
276,1,1,3,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
277,1,1,4,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
278,1,1,4,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
279,1,1,4,2,-6.31264440825061,-6.14869114921952,-5.58336264029481
280,1,1,4,3,-6.31264440825061,-6.14869114921952,-5.58336264029481
281,1,1,4,4,-6.31264440825061,-6.14869114921952,-5.58336264029481
282,1,1,4,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
283,1,1,5,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
284,1,1,5,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
285,1,1,5,2,-6.31264440825061,-6.14869114921952,-5.58336264029481
286,1,1,5,3,-6.31264440825061,-6.14869114921952,-5.58336264029481
287,1,1,5,4,-6.31264440825061,-6.14869114921952,-5.58336264029481
288,1,1,5,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
289,1,2,0,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
290,1,2,0,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
291,1,2,0,2,-6.26915646641784,-6.17078451099919,-6.10611298815697
292,1,2,0,3,-6.25357050126595,-6.14426832857855,-6.02468766747848
293,1,2,0,4,-6.25807408520186,-6.13784169524573,-5.95206315624011
294,1,2,0,5,-6.25194181403877,-6.12077920681389,-5.85742126609356
295,1,2,1,0,-6.35563416343156,-6.26819242528164,-6.24723307942072
296,1,2,1,1,-6.34419937573603,-6.24582742031738,-6.18115589747516
297,1,2,1,2,-6.34444010130114,-6.23513792861375,-6.11555726751368
298,1,2,1,3,-6.33449616811335,-6.21426377815721,-6.0284852391516
299,1,2,1,4,-6.32423981216111,-6.19307720493624,-5.9297192642159
300,1,2,1,5,-6.32221768548225,-6.18012486098863,-5.82771219097675
301,1,2,2,0,-6.32221768548225,-6.18012486098863,-5.82771219097675
302,1,2,2,1,-6.33854953610439,-6.229247363417,-6.10966670231693
303,1,2,2,2,-6.33879017616526,-6.21855778620913,-6.03277924720351
304,1,2,2,3,-6.34052233472045,-6.20935972749557,-5.94600178677524
305,1,2,2,4,-6.32211003005275,-6.18001720555914,-5.82760453554725
306,1,2,2,5,-6.31850480587384,-6.16548176411149,-5.71244419981324
307,1,2,3,0,-6.31521355336078,-6.20591138067338,-6.08633071957331
308,1,2,3,1,-6.32506962483452,-6.20483723487839,-6.01905869587277
309,1,2,3,2,-6.32333439376169,-6.19217178653682,-5.92881384581649
310,1,2,3,3,-6.32426893082129,-6.18217610632768,-5.8297634363158
311,1,2,3,4,-6.31914361542496,-6.16612057366261,-5.71308300936435
312,1,2,3,5,-6.31658165414169,-6.1526283951106,-5.58729988618589
313,1,2,4,0,-6.3683296588441,-6.24809726888796,-6.06231872988235
314,1,2,4,1,-6.3205280537073,-6.18936544648243,-5.9260075057621
315,1,2,4,2,-6.30777394316842,-6.1656811186748,-5.81326844866292
316,1,2,4,3,-6.32881477153665,-6.17579172977429,-5.72275416547604
317,1,2,4,4,-6.31360099555797,-6.14964773652688,-5.58431922760217
318,1,2,4,5,-6.32469684510927,-6.14981336880944,-5.46043091713144
319,1,2,5,0,-6.35278851713839,-6.22162590991352,-5.95826796919319
320,1,2,5,1,-6.30293277390646,-6.16083994941285,-5.80842727940096
321,1,2,5,2,-6.31526639956335,-6.16224335780099,-5.70920579350274
322,1,2,5,3,-6.32314887012275,-6.15919561109165,-5.59386710216694
323,1,2,5,4,-6.31777802901447,-6.14289455271464,-5.45351210103663
324,1,2,5,5,-6.31904711795855,-6.13323342438997,-5.30793600684743
325,1,3,0,0,-6.31904711795855,-6.13323342438997,-5.30793600684743
326,1,3,0,1,-6.31904711795855,-6.13323342438997,-5.30793600684743
327,1,3,0,2,-6.26290783479617,-6.15360566210877,-6.0340250010087
328,1,3,0,3,-6.25596116440889,-6.13572877445276,-5.94995023544714
329,1,3,0,4,-6.28072636806855,-6.14956376084368,-5.88620582012335
330,1,3,0,5,-6.2447677647608,-6.10267494026719,-5.75026227025531
331,1,3,1,0,-6.2447677647608,-6.10267494026719,-5.75026227025531
332,1,3,1,1,-6.33816644337457,-6.22886427068718,-6.10928360958711
333,1,3,1,2,-6.33648781152825,-6.21625542157212,-6.0304768825665
334,1,3,1,3,-6.33860178382572,-6.20743917660084,-5.94408123588051
335,1,3,1,4,-6.32490490352161,-6.182812079028,-5.83039940901612
336,1,3,1,5,-6.32324306023521,-6.17022001847286,-5.7171824541746
337,1,3,2,0,-6.30271881791979,-6.19341664523239,-6.07383598413232
338,1,3,2,1,-6.33251713712206,-6.21228474716593,-6.02650620816031
339,1,3,2,2,-6.3308380045911,-6.19967539736623,-5.9363174566459
340,1,3,2,3,-6.33357039949564,-6.19147757500203,-5.83906490499015
341,1,3,2,4,-6.32106501460734,-6.16804197284499,-5.71500440854673
342,1,3,2,5,-6.31910760455413,-6.15515434552304,-5.58982583659833
343,1,3,3,0,-6.30943931518514,-6.18920692522901,-6.00342838622339
344,1,3,3,1,-6.32686742613225,-6.19570481890738,-5.93234687818705
345,1,3,3,2,-6.32518829158257,-6.18309546708895,-5.83068279707707
346,1,3,3,3,-6.32792068824654,-6.17489764648419,-5.72186008218594
347,1,3,3,4,-6.320292086583,-6.15633882755191,-5.5910103186272
348,1,3,3,5,-6.32094576428472,-6.14606228798489,-5.45667983630688
349,1,3,4,0,-6.32094576428472,-6.14606228798489,-5.45667983630688
350,1,3,4,1,-6.31225807542181,-6.1701652509282,-5.81775258091632
351,1,3,4,2,-6.31241145685249,-6.15938841509014,-5.70635085079188
352,1,3,4,3,-6.32129485713343,-6.15734159810234,-5.59201308917763
353,1,3,4,4,-6.31536315533683,-6.14047967903699,-5.45109722735899
354,1,3,4,5,-6.31607550121636,-6.13026180764779,-5.30496439010525
355,1,3,5,0,-6.32391519917679,-6.18182237468317,-5.82940970467129
356,1,3,5,1,-6.30613873959726,-6.15311569783491,-5.70007813353666
357,1,3,5,2,-6.30697050840303,-6.14301724937193,-5.57768874044722
358,1,3,5,3,-6.31543099050267,-6.14054751420283,-5.45116506252483
359,1,3,5,4,-6.30935345035487,-6.1235397567863,-5.29824233924376
360,1,3,5,5,-6.31042577998197,-6.11368186914466,-5.14050934544158
361,1,4,0,0,-6.31042577998197,-6.11368186914466,-5.14050934544158
362,1,4,0,1,-6.29663774868839,-6.187335576001,-6.06775491490093
363,1,4,0,2,-6.2582045558084,-6.13797216585227,-5.95219362684665
364,1,4,0,3,-6.25245649618945,-6.12129388896457,-5.85793594824424
365,1,4,0,4,-6.24679993114814,-6.10470710665452,-5.75229443664264
366,1,4,0,5,-6.27631400259,-6.12329096082765,-5.6702533965294
367,1,4,1,0,-6.22538379429958,-6.11608162161218,-5.99650096051211
368,1,4,1,1,-6.3239582013178,-6.20372581136166,-6.01794727235605
369,1,4,1,2,-6.32261286022819,-6.19145025300331,-5.92809231228298
370,1,4,1,3,-6.32830724755817,-6.18621442306456,-5.83380175305268
371,1,4,1,4,-6.32385874304949,-6.17083570128714,-5.71779813698888
372,1,4,1,5,-6.3223298328424,-6.15837657381131,-5.5930480648866
373,1,4,2,0,-6.30303481697152,-6.18280242701539,-5.99702388800977
374,1,4,2,1,-6.31931479497292,-6.18815218774804,-5.92479424702771
375,1,4,2,2,-6.31790551573322,-6.17581269123961,-5.82340002122773
376,1,4,2,3,-6.32387254216576,-6.1708495004034,-5.71781193610515
