,p,q,P,Q,AIC,BIC,AICc
132,0,3,3,5,-6.13769882629621,-5.97374556726512,-5.40841705834041
133,0,3,4,0,-6.1244902453701,-6.00425785541397,-5.81847931640835
134,0,3,4,1,-6.14227667293297,-6.0111140657081,-5.74775612498777
135,0,3,4,2,-6.14021741147633,-5.99812458698272,-5.64571191697084
136,0,3,4,3,-6.14388522930531,-5.99086218754296,-5.5378246232447
137,0,3,4,4,-6.14267967856733,-5.97872641953623,-5.41339791061152
138,0,3,4,5,-6.13644046069912,-5.96155698439929,-5.27217453272128
139,0,3,5,0,-6.11003757594083,-5.97887496871595,-5.71551702799562
140,0,3,5,1,-6.13349414210836,-5.99140131761475,-5.63898864760287
141,0,3,5,2,-6.13221330135501,-5.97919025959265,-5.5261526952944
142,0,3,5,3,-6.13382873551196,-5.96987547648087,-5.40454696755616
143,0,3,5,4,-6.1291058583817,-5.95422238208186,-5.26483993040386
144,0,3,5,5,-6.13079074397441,-5.94497705040584,-5.1196796328633
145,0,4,0,0,-6.13079074397441,-5.94497705040584,-5.1196796328633
146,0,4,0,1,-6.04758297178719,-5.94921101636853,-5.88453949352632
147,0,4,0,2,-6.04170733851411,-5.93240516582671,-5.81282450472664
148,0,4,0,3,-6.03590622842967,-5.91567383847354,-5.72989529946792
149,0,4,0,4,-6.03014640225208,-5.89898379502721,-5.63562585430688
150,0,4,0,5,-6.02469466031903,-5.88260183582542,-5.53018916581354
151,0,4,1,0,-6.04226226129865,-5.94389030587999,-5.87921878303778
152,0,4,1,1,-6.15254222764696,-6.04324005495957,-5.9236593938595
153,0,4,1,2,-6.15084145971546,-6.03060906975932,-5.84483053075371
154,0,4,1,3,-6.14797183967462,-6.01680923244975,-5.75345129172941
155,0,4,1,4,-6.14254942494606,-6.00045660045245,-5.64804393044056
156,0,4,1,5,-6.14300766186247,-5.98998462010011,-5.53694705580186
157,0,4,2,0,-6.10234736127939,-5.993045188592,-5.87346452749193
158,0,4,2,1,-6.14689216469137,-6.02665977473523,-5.84088123572962
159,0,4,2,2,-6.14682501223505,-6.01566240501018,-5.75230446428985
160,0,4,2,3,-6.14661911889023,-6.00452629439662,-5.65211362438474
161,0,4,2,4,-6.14015553480167,-5.98713249303932,-5.53409492874107
162,0,4,2,5,-6.13735794125145,-5.97340468222036,-5.40807617329565
163,0,4,3,0,-6.10447204485436,-5.98423965489823,-5.79846111589262
164,0,4,3,1,-6.14657454006714,-6.01541193284226,-5.75205399212193
165,0,4,3,2,-6.14480276980033,-6.00270994530672,-5.65029727529484
166,0,4,3,3,-6.14549870154234,-5.99247565977999,-5.53943809548173
167,0,4,3,4,-6.14295525246085,-5.97900199342976,-5.41367348450505
168,0,4,3,5,-6.13706470647766,-5.96218123017783,-5.27279877849982
169,0,4,4,0,-6.11937877835889,-5.98821617113401,-5.72485823041368
170,0,4,4,1,-6.14092472974879,-5.99883190525518,-5.6464192352433
171,0,4,4,2,-6.13941901800904,-5.98639597624669,-5.53335841194843
172,0,4,4,3,-6.14068068850835,-5.97672742947726,-5.41139892055255
173,0,4,4,4,-6.14138365234785,-5.96650017604801,-5.27711772437001
174,0,4,4,5,-6.13585142867242,-5.95003773510385,-5.12474031756131
175,0,4,5,0,-6.10512694363193,-5.96303411913832,-5.61062144912644
176,0,4,5,1,-6.13149236274165,-5.9784693209793,-5.52543175668105
177,0,4,5,2,-6.13130840443326,-5.96735514540217,-5.40202663647746
178,0,4,5,3,-6.13011206530136,-5.95522858900153,-5.26584613732353
179,0,4,5,4,-6.12760956671537,-5.9417958731468,-5.11649845560426
180,0,4,5,5,-6.13020172095372,-5.93345781011641,-4.96028528641333
181,0,5,0,0,-6.13020172095372,-5.93345781011641,-4.96028528641333
182,0,5,0,1,-6.04508845516219,-5.93578628247479,-5.81620562137472
183,0,5,0,2,-6.03929388720633,-5.9190614972502,-5.73328295824458
184,0,5,0,3,-6.03341661656188,-5.90225400933701,-5.63889606861668
185,0,5,0,4,-6.02764325909127,-5.88555043459766,-5.53313776458578
186,0,5,0,5,-6.02179933661773,-5.86877629485537,-5.41573873055712
187,0,5,1,0,-6.04386916948692,-5.93456699679952,-5.81498633569945
188,0,5,1,1,-6.14863989030546,-6.02840750034932,-5.84262896134371
189,0,5,1,2,-6.14690818926126,-6.01574558203639,-5.75238764131605
190,0,5,1,3,-6.14462674020039,-6.00253391570678,-5.6501212456949
191,0,5,1,4,-6.13916727004366,-5.98614422828131,-5.53310666398306
192,0,5,1,5,-6.13824968196029,-5.97429642292919,-5.40896791400448
193,0,5,2,0,-6.09521744560122,-5.97498505564508,-5.78920651663947
194,0,5,2,1,-6.14299000983304,-6.01182740260816,-5.74846946188783
195,0,5,2,2,-6.14125830382486,-5.99916547933125,-5.64675280931937
196,0,5,2,3,-6.13897703256622,-5.98595399080386,-5.53291642650561
197,0,5,2,4,-6.13351745723775,-5.96956419820666,-5.40423568928195
198,0,5,2,5,-6.13259998042862,-5.95771650412879,-5.26833405245078
199,0,5,3,0,-6.09316200739415,-5.96199940016927,-5.69864145944894
200,0,5,3,1,-6.13734030295584,-5.99524747846223,-5.64283480845035
201,0,5,3,2,-6.13560859974213,-5.98258555797978,-5.52954799368152
202,0,5,3,3,-6.13342495088804,-5.96947169185695,-5.40414318293224
203,0,5,3,4,-6.12875400392627,-5.95387052762644,-5.26448807594844
204,0,5,3,5,-6.13169248613336,-5.94587879256479,-5.12058137502225
205,0,5,4,0,-6.10909819543275,-5.96700537093913,-5.61459270092725
206,0,5,4,1,-6.13176717108112,-5.97874412931877,-5.52570656502052
207,0,5,4,2,-6.13142313586879,-5.9674698768377,-5.40214136791299
208,0,5,4,3,-6.13045190706251,-5.95556843076268,-5.26618597908467
209,0,5,4,4,-6.12795247941429,-5.94213878584572,-5.11684136830318
210,0,5,4,5,-6.13024964129367,-5.93350573045636,-4.96033320675328
211,0,5,5,0,-6.10097187782934,-5.94794883606699,-5.49491127176873
212,0,5,5,1,-6.12611746476712,-5.96216420573603,-5.39683569681132
213,0,5,5,2,-6.1257734027748,-5.95088992647497,-5.26150747479696
214,0,5,5,3,-6.12480220493827,-5.9389885113697,-5.11369109382716
215,0,5,5,4,-6.12230277409212,-5.92555886325481,-4.95238633955173
216,0,5,5,5,-6.12459991980785,-5.9169257917018,-4.78381779690283
217,1,0,0,0,-6.12459991980785,-5.9169257917018,-4.78381779690283
218,1,0,0,1,-6.12459991980785,-5.9169257917018,-4.78381779690283
219,1,0,0,2,-6.04695308472497,-5.97044156384379,-5.98208821986011
220,1,0,0,3,-6.04156991611036,-5.95412817796044,-5.93316883209952
221,1,0,0,4,-6.03596209948436,-5.93759014406571,-5.87291862122349
