,p,q,P,Q,AIC,BIC,AICc
318,1,2,4,5,-5.67184697114079,-5.49696349484096,-4.80758104316295
319,1,2,5,0,-5.71020235998393,-5.57903975275906,-5.31568181203873
320,1,2,5,1,-5.67617652451015,-5.53408370001653,-5.18167103000465
321,1,2,5,2,-5.67252532919232,-5.51950228742997,-5.06646472313172
322,1,2,5,3,-5.67267701453129,-5.5087237555002,-4.94339524657549
323,1,2,5,4,-5.67046869476466,-5.49558521846483,-4.80620276678682
324,1,2,5,5,-5.66937640402985,-5.48356271046128,-4.65826529291874
325,1,3,0,0,-5.66937640402985,-5.48356271046128,-4.65826529291874
326,1,3,0,1,-5.65080548900846,-5.55243353358981,-5.4877620107476
327,1,3,0,2,-5.64517456467562,-5.53587239198823,-5.41629173088815
328,1,3,0,3,-5.64276125638745,-5.52252886643131,-5.3367503274257
329,1,3,0,4,-5.63723050561183,-5.50606789838696,-5.24270995766663
330,1,3,0,5,-5.62250739839483,-5.48041457390122,-5.12800190388933
331,1,3,1,0,-5.63676382196877,-5.53839186655012,-5.4737203437079
332,1,3,1,1,-5.69435524258099,-5.5850530698936,-5.46547240879353
333,1,3,1,2,-5.68986665241331,-5.56963426245717,-5.38385572345156
334,1,3,1,3,-5.69004852029539,-5.55888591307052,-5.29552797235018
335,1,3,1,4,-5.68264322238426,-5.54055039789064,-5.18813772787876
336,1,3,1,5,-5.67861628759249,-5.52559324583014,-5.07255568153188
337,1,3,2,0,-5.67861628759249,-5.52559324583014,-5.07255568153188
338,1,3,2,1,-5.68870552014822,-5.56847313019209,-5.38269459118647
339,1,3,2,2,-5.68452229323084,-5.55335968600596,-5.29000174528563
340,1,3,2,3,-5.68488736570983,-5.54279454121622,-5.19038187120434
341,1,3,2,4,-5.68106563001425,-5.5280425882519,-5.07500502395364
342,1,3,2,5,-5.67505145650239,-5.51109819747129,-4.94576968854658
343,1,3,3,0,-5.66956186874539,-5.54932947878926,-5.36355093978364
344,1,3,3,1,-5.68305580282335,-5.55189319559848,-5.28853525487815
345,1,3,3,2,-5.67887257169506,-5.53677974720145,-5.18436707718957
346,1,3,3,3,-5.67923765220209,-5.52621461043974,-5.07317704614148
347,1,3,3,4,-5.6754159114598,-5.51146265242871,-4.946134143504
348,1,3,3,5,-5.66911472314477,-5.49423124684493,-4.80484879516693
349,1,3,4,0,-5.67564275090009,-5.54448014367522,-5.28112220295489
350,1,3,4,1,-5.67684456788335,-5.53475174338974,-5.18233907337786
351,1,3,4,2,-5.67310527724709,-5.52008223548474,-5.06704467118648
352,1,3,4,3,-5.67300401745138,-5.50905075842029,-4.94372224949558
353,1,3,4,4,-5.67242052607656,-5.49753704977673,-4.80815459809872
354,1,3,4,5,-5.66757776843307,-5.4817640748645,-4.65646665732196
355,1,3,5,0,-5.67710944435514,-5.53501661986153,-5.18260394984965
356,1,3,5,1,-5.67147236075456,-5.51844931899221,-5.06541175469395
357,1,3,5,2,-5.6677642115522,-5.50381095252111,-4.9384824435964
358,1,3,5,3,-5.66788500779965,-5.49300153149981,-4.80361907982181
359,1,3,5,4,-5.66604213609113,-5.48022844252256,-4.65493102498002
360,1,3,5,5,-5.66624220377009,-5.46949829293278,-4.4963257692297
361,1,4,0,0,-5.66624220377009,-5.46949829293278,-4.4963257692297
362,1,4,0,1,-5.64711656526725,-5.53781439257985,-5.41823373147978
363,1,4,0,2,-5.64244062753033,-5.5222082375742,-5.33642969856858
364,1,4,0,3,-5.62852050115153,-5.49735789392666,-5.23399995320633
365,1,4,0,4,-5.62281134128795,-5.48071851679434,-5.12830584678246
366,1,4,0,5,-5.61700021043117,-5.46397716866882,-5.01093960437056
367,1,4,1,0,-5.66117101405163,-5.55186884136424,-5.43228818026416
368,1,4,1,1,-5.68505668530337,-5.56482429534724,-5.37904575634162
369,1,4,1,2,-5.68101827550499,-5.54985566828012,-5.28649772755979
370,1,4,1,3,-5.68196707499342,-5.5398742504998,-5.18746158048792
371,1,4,1,4,-5.6770228108231,-5.52399976906075,-5.0709622047625
372,1,4,1,5,-5.67300688503627,-5.50905362600518,-4.94372511708047
373,1,4,2,0,-5.66978118902539,-5.54954879906925,-5.36377026006364
374,1,4,2,1,-5.67940687036796,-5.54824426314309,-5.28488632242275
375,1,4,2,2,-5.67906441119843,-5.53697158670482,-5.18455891669294
376,1,4,2,3,-5.67710401275963,-5.52408097099728,-5.07104340669903
